"Season","Team","Age","GW","GL","MP","THM","THL","TM","TL","FTM","FTL","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","OPTHM","OPTHL","OPTM","OPTL","OPFTM","OPFTL","OPORB","OPDRB","OPAST","OPSTL","OPBLK","OPTOV","OPPF","OPPTS","Conference","Classified"
1980,"Phoenix Suns",26.5,55,27,19755,0.003442167,0.01073146,0.177271577,0.174791192,0.096481903,0.028347254,0.054214123,0.124424196,0.11556568,0.045963047,0.017413313,0.082460137,0.093799038,0.461351557,0.00506201,0.009972159,0.175297393,0.188306758,0.080637813,0.026626171,0.061554037,0.123867375,0.102556315,0.044646925,0.019691217,0.08418122,0.103821817,0.446418628,"west",NA
1980,"Portland Trail Blazers",26.3,38,44,19780,0.001314459,0.005358948,0.170980789,0.184681496,0.078867543,0.027300303,0.065470172,0.12173913,0.095955511,0.035793731,0.023862487,0.078463094,0.098887765,0.424772497,0.002780586,0.006622851,0.16653185,0.178361982,0.086754297,0.028564206,0.057532861,0.119211325,0.101516684,0.038220425,0.019969666,0.07330637,0.095045501,0.428159757,"west",NA
1980,"San Antonio Spurs",26.9,41,41,19755,0.002632245,0.007795495,0.192558846,0.188711719,0.102455075,0.025512528,0.058364971,0.127309542,0.117742344,0.039028094,0.016856492,0.080435333,0.106454062,0.495469501,0.004454568,0.010124019,0.198025816,0.192204505,0.087623386,0.027942293,0.06317388,0.125132878,0.128423184,0.04191344,0.023133384,0.076588206,0.110959251,0.497038724,"west",NA
1980,"Los Angeles Clippers/San Diego Clippers",27.6,35,47,19755,0.008959757,0.018526955,0.169425462,0.182434827,0.080739053,0.028954695,0.065502404,0.116831182,0.085446722,0.033611744,0.014578588,0.073044799,0.095975702,0.446469248,0.002176664,0.007289294,0.187749937,0.182839787,0.081650215,0.023943305,0.061857758,0.125892179,0.101847634,0.038673753,0.020652999,0.070412554,0.095621362,0.463680081,"west",NA
1980,"Oklahoma City Thunder/Seattle SuperSonics",27,56,26,19830,0.00297529,0.006555724,0.176248109,0.195713565,0.087241553,0.026374181,0.069591528,0.128593041,0.103025719,0.037821483,0.021583459,0.075441251,0.09404942,0.448663641,0.00297529,0.009127584,0.168885527,0.193393848,0.082702975,0.025567322,0.060665658,0.121482602,0.101664145,0.036712052,0.019818457,0.076601109,0.100706001,0.429399899,"west",NA
1980,"Utah Jazz",25.9,24,58,19805,0.002979046,0.00636203,0.167785913,0.16707902,0.079323403,0.018783136,0.048826054,0.119111336,0.101237061,0.033122949,0.018278213,0.077909619,0.101287554,0.423832366,0.003382984,0.007270891,0.176319111,0.175662711,0.085937894,0.025397627,0.058520576,0.115526382,0.100833123,0.035849533,0.020095935,0.06432719,0.089977278,0.448725069,"west",NA
1980,"Washington Wizards/Washington Bullets",29,39,43,19880,0.003672032,0.008299799,0.17610664,0.204074447,0.07806841,0.024949698,0.067102616,0.136971831,0.110714286,0.02665996,0.022283702,0.069416499,0.095221328,0.441297787,0.002816901,0.007947686,0.179024145,0.20110664,0.085311871,0.024547284,0.060211268,0.134406439,0.106639839,0.036921529,0.02610664,0.061468813,0.095623742,0.451810865,"east",NA
1981,"Atlanta Hawks",26.8,31,51,19930,0.000501756,0.003612644,0.164626192,0.175765178,0.100953337,0.029001505,0.060260913,0.111590567,0.092624185,0.037581535,0.023532363,0.080531862,0.114199699,0.431710988,0.00160562,0.006021074,0.169041646,0.167887607,0.101555444,0.030958354,0.060561967,0.116307075,0.097089814,0.03753136,0.027847466,0.084545911,0.110837933,0.444455595,"east",NA
1981,"Boston Celtics",27,62,20,19780,0.003286148,0.008897877,0.177755308,0.168958544,0.090040445,0.029726997,0.058392315,0.122548028,0.11132457,0.034529828,0.030030334,0.079726997,0.100606673,0.455409505,0.001516684,0.005510617,0.168958544,0.192871587,0.088574317,0.026541962,0.060262892,0.109908999,0.095551062,0.037209302,0.017745197,0.074469161,0.104095046,0.431041456,"east",NA
1981,"Chicago Bulls",26.5,45,37,19780,0.001921132,0.007128413,0.172851365,0.167087968,0.100353893,0.029221436,0.062032356,0.12512639,0.097320526,0.03685541,0.025985844,0.084529828,0.104044489,0.45182002,0.002628918,0.008645096,0.175682508,0.177502528,0.08437816,0.027401416,0.057886754,0.105965622,0.098584429,0.039635996,0.022295248,0.075935288,0.10793731,0.443629929,"east",NA
